Pl,Qual,Name,Nation,TSS,TES,,PCS,SS,TR,PE,CH,IN,Ded,StN
1,Q,KIM Yuna,KOR,74.92,39.03,,35.89,9.04,8.61,9.11,8.89,9.21,0.0,#17
2,Q,SOTNIKOVA Adelina,RUS,74.64,39.09,,35.55,8.82,8.57,9.11,8.89,9.04,0.0,#29
3,Q,KOSTNER Carolina,ITA,74.12,37.49,,36.63,9.0,8.79,9.36,9.25,9.39,0.0,#26
4,Q,GOLD Gracie,USA,68.63,36.55,,32.08,8.04,7.71,8.14,8.04,8.18,0.0,#22
5,Q,LIPNITSKAYA Yulia,RUS,65.23,33.15,,33.08,8.43,8.07,8.14,8.43,8.29,1.0,#25
6,Q,WAGNER Ashley,USA,65.21,31.43,,33.78,8.39,8.11,8.61,8.5,8.61,0.0,#27
7,Q,EDMUNDS Polina,USA,61.04,32.98,,28.06,7.11,6.71,7.21,6.93,7.11,0.0,#12
8,Q,SUZUKI Akiko,JPN,60.97,28.71,,32.26,8.18,7.79,8.0,8.11,8.25,0.0,#24
9,Q,MEITE Mae Berenice,FRA,58.63,30.83,,27.8,7.07,6.64,7.04,6.93,7.07,0.0,#28
10,Q,WEINZIERL Nathalie,GER,57.63,31.94,,25.69,6.5,6.14,6.57,6.36,6.54,0.0,#18
11,Q,LI Zijun,CHN,57.55,30.01,,27.54,7.07,6.57,6.96,6.89,6.93,0.0,#23
12,Q,MARCHEI Valentina,ITA,57.02,27.52,,29.5,7.32,7.04,7.54,7.36,7.61,0.0,#21
13,Q,OSMOND Kaetlyn,CAN,56.18,27.51,,28.67,7.18,6.96,7.18,7.14,7.39,0.0,#8
14,Q,ZHANG Kexin,CHN,55.8,32.68,,23.12,6.11,5.61,5.79,5.75,5.64,0.0,#7
15,Q,MURAKAMI Kanako,JPN,55.6,26.72,,28.88,7.39,6.93,7.25,7.21,7.32,0.0,#20
16,Q,ASADA Mao,JPN,55.51,22.63,,33.88,8.57,8.29,8.14,8.64,8.71,1.0,#30
17,Q,GEDEVANISHVILI Elene,GEO,54.7,27.51,,27.19,6.89,6.5,6.89,6.71,7.0,0.0,#16
18,Q,KIM Haejin,KOR,54.37,29.23,,25.14,6.54,5.89,6.39,6.11,6.5,0.0,#11
19,Q,DALEMAN Gabrielle,CAN,52.61,28.07,,24.54,6.32,5.93,6.11,6.14,6.18,0.0,#3
20,Q,UKOLOVA Elizaveta,CZE,51.87,29.72,,22.15,5.64,5.32,5.61,5.61,5.5,0.0,#14
21,Q,RAJICOVA Nicole,SVK,49.8,26.63,,23.17,5.89,5.5,5.93,5.79,5.86,0.0,#13
22,Q,HAN Brooklee,AUS,49.32,26.37,,22.95,5.82,5.54,5.86,5.68,5.79,0.0,#9
23,Q,PARK So Youn,KOR,49.14,25.35,,23.79,6.14,5.68,6.0,5.89,6.04,0.0,#2
24,Q,GJERSEM Anne Line,NOR,48.56,26.13,,22.43,5.68,5.36,5.71,5.5,5.79,0.0,#15
25,,McCORKELL Jenna,GBR,48.34,25.34,,23.0,5.89,5.36,6.04,5.71,5.75,0.0,#5
26,,FRANK Kerstin,AUT,48.0,26.64,,21.36,5.61,5.14,5.39,5.39,5.18,0.0,#6
27,,HELGESSON Viktoria,SWE,47.84,21.83,,27.01,7.11,6.57,6.5,6.82,6.75,1.0,#19
28,,POPOVA Natalia,UKR,47.42,24.3,,23.12,6.0,5.54,5.82,5.82,5.71,0.0,#4
29,,GLEBOVA Elena,EST,46.19,22.59,,23.6,6.11,5.75,5.89,5.89,5.86,0.0,#1
30,,WILLIAMS Isadora,BRA,40.37,18.93,,21.44,5.39,5.14,5.39,5.39,5.5,0.0,#10
