index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
1,🇺🇸,Ilia Malinin 1,0,1,3,0,0,299.15n=4,146.12n=4,165.60n=4,134.05n=4,12.73n=40,3.87n=24,5.03n=8,5.02n=4,8.98n=8,9.00n=8,8.93n=8
2,🇯🇵,Yuma Kagiyama 3,0,1,3,0,0,284.12n=4,128.88n=4,150.62n=4,134.00n=4,11.24n=40,3.87n=24,5.21n=8,4.62n=4,8.91n=8,8.89n=8,9.07n=8
3,🇯🇵,Shun Sato 4,0,1,3,0,0,274.08n=4,133.22n=4,150.36n=4,124.98n=4,11.62n=40,3.62n=24,4.19n=8,4.02n=4,8.37n=8,8.22n=8,8.49n=8
4,🇫🇷,Kévin Aymoz 11,0,0,3,0,0,260.22n=3,113.03n=3,128.77n=3,132.78n=3,8.83n=30,4.18n=18,5.17n=6,5.09n=3,8.86n=6,8.90n=6,8.71n=6
5,🇫🇷,Adam Siao Him Fa 2,0,1,2,0,0,257.16n=3,122.84n=3,133.07n=3,125.43n=3,9.73n=30,3.61n=18,4.72n=6,4.69n=3,8.37n=6,8.29n=6,8.39n=6
6,🇮🇹,Daniel Grassl 16,0,2,3,0,0,256.63n=5,129.14n=5,138.81n=5,118.82n=5,10.31n=50,3.82n=30,4.39n=10,3.99n=5,7.96n=10,7.88n=10,7.84n=10
7,🇯🇵,Sota Yamamoto 10,0,1,2,0,0,256.54n=3,124.77n=3,136.07n=3,121.47n=3,10.01n=30,3.76n=18,4.58n=6,4.28n=3,7.91n=6,8.02n=6,8.29n=6
8,🇰🇿,Mikhail Shaidorov 7,0,1,3,0,0,256.03n=4,134.86n=4,141.70n=4,115.32n=4,11.15n=40,3.18n=24,4.03n=8,3.02n=4,7.69n=8,7.68n=8,7.72n=8
9,🇯🇵,Tatsuya Tsuboi 41,0,0,1,0,0,251.52n=1,119.65n=1,137.75n=1,113.77n=1,10.42n=10,3.68n=6,3.75n=2,4.00n=1,7.34n=2,7.40n=2,7.80n=2
10,🇯🇵,Kao Miura 5,0,1,2,0,0,251.27n=3,112.87n=3,126.16n=3,125.78n=3,9.11n=30,3.64n=18,4.52n=6,4.18n=3,8.37n=6,8.31n=6,8.54n=6
11,🇮🇹,Matteo Rizzo 8,0,1,2,0,0,245.88n=3,115.28n=3,124.31n=3,122.24n=3,8.98n=30,3.49n=18,4.77n=6,4.02n=3,8.10n=6,8.16n=6,8.15n=6
12,🇰🇷,Junhwan Cha 9,0,1,1,0,1,244.40n=2,112.52n=2,121.36n=2,124.04n=2,8.30n=23,3.82n=15,4.82n=5,4.46n=2,8.18n=4,8.07n=4,8.28n=4
13,🇱🇻,Deniss Vasiljevs 13,0,1,2,0,0,240.62n=3,105.95n=3,117.77n=3,123.19n=3,7.94n=30,4.14n=18,4.55n=6,4.46n=3,8.18n=6,8.30n=6,8.12n=6
14,🇬🇪,Nika Egadze 12,0,3,2,0,0,240.14n=5,129.99n=5,130.74n=5,110.60n=5,10.00n=50,3.29n=30,3.94n=10,3.08n=5,7.38n=10,7.29n=10,7.47n=10
15,🇨🇳,Daiwei Dai 74,0,0,1,0,0,237.35n=1,121.33n=1,129.83n=1,109.52n=1,9.53n=10,3.80n=6,4.20n=2,3.29n=1,7.30n=2,7.09n=2,7.43n=2
16,🇯🇵,Kazuki Tomono 19,0,0,2,0,0,234.94n=2,107.97n=2,114.32n=2,122.12n=2,8.11n=20,3.24n=12,4.98n=4,3.86n=2,8.09n=4,8.18n=4,8.22n=4
17,🇨🇭,Lukas Britschgi 6,0,2,2,0,0,232.72n=4,108.06n=4,115.14n=4,119.32n=4,7.84n=40,3.94n=24,4.70n=8,3.66n=4,7.96n=8,7.99n=8,8.00n=8
18,🇺🇸,Andrew Torgashev 24,0,2,2,0,0,228.20n=4,108.12n=4,115.55n=4,113.16n=4,8.19n=40,3.48n=24,4.31n=8,4.13n=4,7.42n=8,7.44n=8,7.70n=8
19,🇮🇹,Gabriele Frangipani 15,0,2,2,0,0,228.11n=4,119.52n=4,115.56n=4,113.30n=4,8.33n=40,3.28n=24,4.20n=8,4.14n=4,7.58n=8,7.59n=8,7.50n=8
20,🇪🇪,Mihhail Selevko 46,0,3,0,0,0,226.92n=3,106.08n=3,112.21n=3,116.37n=3,7.62n=30,3.79n=18,4.61n=6,4.10n=3,7.83n=6,7.76n=6,7.72n=6
21,🇯🇵,Koshiro Shimada 27,0,0,2,0,0,226.76n=2,115.25n=2,114.19n=2,114.57n=2,7.99n=20,3.64n=12,4.17n=4,4.14n=2,7.69n=4,7.59n=4,7.69n=4
22,🇺🇸,Lucas Broussard 56,0,1,1,0,0,226.52n=2,103.74n=2,114.82n=2,113.21n=2,8.40n=20,3.15n=12,3.74n=4,4.46n=2,7.56n=4,7.46n=4,7.54n=4
23,🇺🇸,Jacob Sanchez 33,3,1,0,0,0,225.67n=4,104.84n=4,114.99n=4,111.18n=4,8.38n=40,3.69n=24,4.45n=5,3.49n=4,7.39n=8,7.42n=8,7.45n=8
24,🇨🇳,Boyang Jin 20,0,0,2,0,0,225.47n=2,113.70n=2,114.43n=2,111.54n=2,8.09n=20,3.69n=12,3.91n=4,3.57n=2,7.42n=4,7.38n=4,7.70n=4
25,🇺🇸,Jimmy Ma 47,0,3,0,0,0,225.30n=3,118.21n=3,117.44n=3,108.86n=3,8.58n=30,3.33n=18,3.97n=6,3.70n=3,7.15n=6,7.31n=6,7.28n=6
26,🇮🇹,Nikolaj Memola 14,0,1,2,0,0,225.27n=3,116.12n=3,116.01n=3,110.26n=3,8.57n=30,3.06n=18,4.00n=6,3.97n=3,7.27n=6,7.39n=6,7.36n=6
