seq,Nat,Team,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean SBS Jump,Mean Throw,Mean Twist,Mean Lift,Mean CO,Mean PR,Mean SS
1,🇩🇪,Hase / Volodin 4,0,1,3,0,0,214.40n=4,91.18n=4,112.46n=4,102.19n=4,6.84n=12,6.09n=12,7.71n=8,7.77n=16,8.47n=8,8.53n=8,8.48n=8
2,🇯🇵,Miura / Kihara 3,0,1,3,0,0,207.48n=4,88.51n=4,105.10n=4,103.39n=4,4.46n=12,5.31n=12,7.45n=8,7.70n=16,8.69n=8,8.53n=8,8.75n=8
3,🇮🇹,Conti / Macii 1,0,1,3,0,0,204.38n=4,88.68n=4,104.09n=4,100.79n=4,5.24n=12,5.72n=12,7.14n=8,7.07n=16,8.43n=8,8.42n=8,8.38n=8
4,🇨🇦,Stellato / Deschamps 2,0,1,2,0,0,203.67n=3,87.23n=3,103.97n=3,100.37n=3,3.83n=9,5.20n=9,7.98n=6,7.75n=12,8.41n=6,8.36n=6,8.44n=6
5,🇬🇪,Metelkina / Berulava 10,0,1,3,0,0,203.07n=4,90.46n=4,107.55n=4,95.77n=4,5.52n=12,6.59n=12,7.64n=8,7.51n=16,7.98n=8,7.96n=8,7.99n=8
6,🇺🇸,Kam / O'Shea 8,0,2,3,0,0,194.69n=5,87.08n=5,100.16n=5,96.33n=5,4.23n=15,4.20n=15,7.52n=10,7.84n=20,8.13n=10,7.94n=10,8.07n=10
7,🇭🇺,Pavlova / Sviatchenko 6,0,1,2,0,0,188.30n=3,88.83n=3,100.42n=3,88.55n=3,6.19n=9,6.14n=9,7.36n=6,6.25n=12,7.41n=6,7.30n=6,7.44n=6
8,🇦🇺,Golubeva / G-Moore 14,0,0,1,0,0,186.14n=1,90.20n=1,96.59n=1,90.55n=1,6.71n=3,4.67n=3,4.20n=2,6.90n=4,7.46n=2,7.44n=2,7.61n=2
9,🇩🇪,Hocke / Kunkel 7,0,1,2,0,0,183.01n=3,87.28n=3,94.39n=3,89.28n=3,4.03n=9,5.38n=9,6.51n=6,6.73n=12,7.50n=6,7.49n=6,7.50n=6
10,🇺🇸,Efimova / Mitrofanov 30,0,2,2,0,0,182.58n=4,84.06n=4,94.08n=4,89.00n=4,3.83n=12,4.89n=12,6.97n=8,6.55n=16,7.48n=8,7.37n=8,7.36n=8
