index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
1,🇺🇸,Amber Glenn 6,0,1,3,0,0,212.74n=4,100.54n=4,111.25n=4,101.73n=4,7.64n=40,3.61n=24,4.53n=8,4.18n=4,8.41n=8,8.48n=8,8.45n=8
2,🇯🇵,Mao Shimada 21,3,0,0,0,0,209.67n=3,103.71n=3,117.83n=3,92.84n=3,8.27n=30,4.26n=18,5.16n=3,4.33n=3,7.67n=6,7.73n=6,7.87n=6
3,🇯🇵,Kaori Sakamoto 1,0,1,3,0,0,208.54n=4,89.29n=4,103.29n=4,106.25n=4,6.59n=40,3.89n=24,4.84n=8,4.41n=4,8.88n=8,8.76n=8,8.97n=8
4,🇯🇵,Mone Chiba 8,0,1,3,0,0,206.67n=4,94.79n=4,106.38n=4,100.53n=4,6.82n=40,4.14n=24,4.42n=8,4.45n=4,8.34n=8,8.31n=8,8.37n=8
5,🇰🇷,Chaeyeon Kim 3,0,1,2,0,0,204.38n=3,94.45n=3,106.38n=3,98.33n=3,6.86n=30,4.11n=18,4.35n=6,4.38n=3,8.15n=6,8.06n=6,8.22n=6
6,🇯🇵,Rion Sumiyoshi 28,0,0,2,0,0,201.90n=2,95.57n=2,104.20n=2,98.20n=2,6.58n=20,3.92n=12,5.22n=4,4.40n=2,8.12n=4,8.09n=4,8.16n=4
7,🇯🇵,Wakaba Higuchi 43,0,0,3,0,0,199.66n=3,90.31n=3,101.13n=3,98.86n=3,6.52n=30,3.66n=18,4.96n=6,4.00n=3,8.11n=6,8.16n=6,8.38n=6
8,🇺🇸,Sarah Everhardt 35,0,2,2,0,0,196.61n=4,92.85n=4,105.10n=4,91.50n=4,7.11n=40,3.72n=24,3.98n=8,3.78n=4,7.71n=8,7.58n=8,7.60n=8
9,🇺🇸,Isabeau Levito 2,0,2,1,0,0,195.59n=3,85.73n=3,96.25n=3,100.34n=3,6.11n=30,3.75n=18,4.13n=6,4.40n=3,8.48n=6,8.34n=6,8.26n=6
10,🇯🇵,Ami Nakai 38,3,0,0,0,0,195.36n=3,94.07n=3,104.74n=3,90.95n=3,7.31n=30,3.77n=18,4.83n=3,4.24n=3,7.52n=6,7.57n=6,7.60n=6
