병상포화지수,지역,연도,이혼율,자살율,병상수,스트레스인지율,교통사고발생건수,화재발생건수,일인가구비율,인구밀도,출산율,사망률,흡연율,비만율,미충족의료율,중증응급환자비율,응급의학전문의수,응급의학전공의수,응급실도착소요시간,코로나확진자수
65.1,서울,2023,3,23.2,1195,27.1,33811,5671,39.3,15533,0.552,551.1,17.9,28.8,4.4,15.1,11.2,2.3,13.27602494,1078397
43.8,부산,2023,3.75,29.1,473,23.9,11003,2468,36.4,4258,0.664,799.2,18.8,32.1,5.6,19,3.9,1,2.538856016,373846
73.9,대구,2023,3.85,28.1,385,23.8,10880,1293,34.7,2666,0.702,697.8,19.4,32,4.9,20.9,5.6,1.1,2.363409519,244025
41.3,인천,2023,4.8,28.8,402,27,7648,1332,31.8,2820,0.694,614.8,19.3,34.5,7.2,12.9,4.3,1.3,4.573467458,306182
42.2,광주,2023,4,27.3,343,24.7,6972,732,36.5,2921,0.706,624.1,18.3,29.2,6.1,16.9,7.7,1.6,1.740480279,168461
38.3,대전,2023,3.95,26.4,196,28.3,7398,1021,39.4,2731,0.787,603.1,19,28.4,4.3,16.2,6.9,2.1,1.92587328,164226
29.7,울산,2023,4.2,32.7,144,25.8,3664,794,30.9,1041,0.814,550.4,19.7,33.2,7.2,11.7,2.5,1,1.327014661,120080
35.8,세종,2023,3.65,20,39,25.8,1166,219,33,833,0.971,415.1,13.2,29.3,7,10.8,3.88,,0.522937095,43447
41.5,경기,2023,4.2,25.1,1613,27.7,53164,8202,31.2,1351,0.766,553.3,19.2,33,5.9,14.5,2.6,0.8,18.69160023,1391234
34.2,강원,2023,4.15,34.7,315,27.2,6079,1977,38.8,91,0.893,931.6,22.3,35,7.4,17,10.1,1.2,2.209065925,147032
26.9,충북,2023,4.5,33.3,288,26.3,7939,1480,38.5,220,0.886,846.9,21.9,34.5,8.4,14.7,1.6,0.7,1.844731945,161381
31.8,충남,2023,4.5,36.5,277,27.7,8606,1980,37.4,267,0.842,885.9,22.2,34.4,6.6,11.4,4.6,1.1,3.776504693,215366
43.5,전북,2023,4.25,25.6,374,26.5,5830,2167,37.7,219,0.78,979,20.6,34.1,7.8,16,5.8,0.9,3.187059958,192682
28.6,전남,2023,4.05,29.2,412,25.6,8287,2608,37.1,143,0.972,1095.1,20.2,34,5.4,14.7,2.2,0.1,1.835991279,194582
25.9,경북,2023,4.05,30.5,427,23.9,10777,2979,38.1,137,0.86,988.3,21.3,33.9,6.5,12.5,2.4,0.1,3.781831933,254412
37.6,경남,2023,4.45,28.5,514,24.5,11122,3378,34.7,310,0.799,810.5,19.1,32.4,9.3,14.9,2.4,0.6,3.156671828,344256
33.6,제주,2023,4.95,30.5,127,23.5,3950,556,33.7,366,0.827,694.8,19.1,36.1,4.3,10.2,3.3,0.3,1.328519179,85345
64.4,서울,2022,3.15,21.4,1164,25.7,33698,5396,38.2,15567,0.593,589.6,16.3,30.2,3.8,14.26588816,10.5,2.2,13.5494221,5436495
48.7,부산,2022,3.75,27.3,457,22.8,10882,2488,35.3,4282,0.723,835.6,18.3,31.2,6.3,18.19141825,3.5,1,2.71166024,1691534
81.1,대구,2022,3.65,27,351,22.6,11102,1294,33.8,2679,0.757,744,17.4,28.8,5,19.63808727,5.4,1.3,2.511987349,1245690
46.9,인천,2022,4.7,25.8,350,26.3,7695,1279,31,2788,0.747,644.8,20.3,32.6,7.2,11.93964296,4.2,1.4,4.648147572,1649641
